CL1.Contig1_All	1
CL1.Contig2_All	1
CL2.Contig1_All	2
CL2.Contig2_All	2
CL2.Contig3_All	2
CL2.Contig4_All	2
CL2.Contig5_All	2
CL3.Contig1_All	3
CL3.Contig2_All	3
CL4.Contig1_All	4
CL4.Contig2_All	4
CL4.Contig3_All	4
CL4.Contig4_All	4
CL5.Contig1_All	5
CL5.Contig2_All	5
CL5.Contig3_All	5
CL6.Contig1_All	6
CL6.Contig2_All	6
CL6.Contig3_All	6
CL6.Contig4_All	6
CL6.Contig5_All	6
CL6.Contig6_All	6
CL6.Contig7_All	6
CL6.Contig8_All	6
CL6.Contig9_All	6
CL6.Contig10_All	6
CL6.Contig11_All	6
CL6.Contig12_All	6
CL6.Contig13_All	6
CL7.Contig1_All	7
CL7.Contig2_All	7
CL7.Contig3_All	7
CL7.Contig4_All	7
CL7.Contig5_All	7
CL7.Contig6_All	7
CL7.Contig7_All	7
CL7.Contig8_All	7
CL7.Contig9_All	7
CL7.Contig10_All	7
CL7.Contig11_All	7
CL7.Contig12_All	7
CL7.Contig13_All	7
CL7.Contig14_All	7
CL7.Contig15_All	7
CL7.Contig16_All	7
CL7.Contig17_All	7
CL7.Contig18_All	7
CL7.Contig19_All	7
CL8.Contig1_All	8
CL8.Contig2_All	8
CL9.Contig1_All	9
CL9.Contig2_All	9
CL10.Contig1_All	10
CL10.Contig2_All	10
CL10.Contig3_All	10
CL10.Contig4_All	10
CL10.Contig5_All	10
CL11.Contig1_All	11
CL11.Contig2_All	11
CL11.Contig3_All	11
CL12.Contig1_All	12
CL12.Contig2_All	12
CL12.Contig3_All	12
CL12.Contig4_All	12
CL13.Contig1_All	13
CL13.Contig2_All	13
CL13.Contig3_All	13
CL14.Contig1_All	14
CL14.Contig2_All	14
CL14.Contig3_All	14
CL14.Contig4_All	14
CL14.Contig5_All	14
CL15.Contig1_All	15
CL15.Contig2_All	15
CL16.Contig1_All	16
CL16.Contig2_All	16
CL16.Contig3_All	16
CL17.Contig1_All	17
CL17.Contig2_All	17
CL18.Contig1_All	18
CL18.Contig2_All	18
CL18.Contig3_All	18
CL18.Contig4_All	18
CL18.Contig5_All	18
CL19.Contig1_All	19
CL19.Contig2_All	19
CL19.Contig3_All	19
CL20.Contig1_All	20
CL20.Contig2_All	20
CL20.Contig3_All	20
